Original,Encoded
AN,0
AP,1
AR,2
AS,3
BR,4
CH,5
CT,6
DD,7
DL,8
GA,9
GJ,10
HP,11
HR,12
JK,13
KA,14
KL,15
LD,16
MH,17
ML,18
MN,19
MP,20
MZ,21
NL,22
OR,23
PB,24
PY,25
RJ,26
SK,27
TN,28
TR,29
UP,30
WB,31
